participant,condition,response_time
1,condition_a,984
2,condition_a,1005
3,condition_a,979
4,condition_a,1040
5,condition_a,1008
6,condition_a,979
7,condition_a,1012
8,condition_a,1018
9,condition_a,1014
10,condition_a,992
11,condition_a,1038
12,condition_a,1010
13,condition_a,984
14,condition_a,945
15,condition_a,1028
16,condition_a,999
17,condition_a,1000
18,condition_a,1024
19,condition_a,1021
20,condition_a,1015
21,condition_a,1023
22,condition_a,1020
23,condition_a,1002
24,condition_a,950
25,condition_a,1015
26,condition_a,999
27,condition_a,996
28,condition_a,963
29,condition_a,988
30,condition_a,1010
31,condition_a,1034
32,condition_a,997
33,condition_a,1010
34,condition_a,999
35,condition_a,966
36,condition_a,990
37,condition_a,990
38,condition_a,999
39,condition_a,1028
40,condition_a,1019
41,condition_a,996
42,condition_a,994
43,condition_a,1017
44,condition_a,1014
45,condition_a,983
46,condition_a,982
47,condition_a,1009
48,condition_a,1019
49,condition_b,1012
50,condition_b,1037
51,condition_b,1025
52,condition_b,1000
53,condition_b,1024
54,condition_b,987
55,condition_b,1051
56,condition_b,1065
57,condition_b,1006
58,condition_b,989
59,condition_b,1029
60,condition_b,1012
61,condition_b,1075
62,condition_b,1014
63,condition_b,1032
64,condition_b,1016
65,condition_b,996
66,condition_b,1020
67,condition_b,970
68,condition_b,1052
69,condition_b,1019
70,condition_b,1069
71,condition_b,1027
72,condition_b,997
73,condition_b,1030
74,condition_b,992
75,condition_b,984
76,condition_b,1022
77,condition_b,1004
78,condition_b,1015
79,condition_b,1017
80,condition_b,1000
81,condition_b,1001
82,condition_b,1012
83,condition_b,1044
84,condition_b,977
85,condition_b,1030
86,condition_b,1023
87,condition_b,1042
88,condition_b,1007
89,condition_b,1024
90,condition_b,1022
91,condition_b,1001
92,condition_b,1045
93,condition_b,1044
94,condition_b,1033
95,condition_b,1055
96,condition_b,1029
